IID	COND	N	population	ind	MEAN	MORTALITY
AFB011	COV	2080	AFB	1	1836	0
AFB011	IAV	1795	AFB	1		
AFB011	NS	1634	AFB	1		
AFB012	COV	1960	AFB	2	1693	2
AFB012	IAV	1568	AFB	2		
AFB012	NS	1551	AFB	2		
AFB013	COV	1814	AFB	3	2049	1
AFB013	IAV	2143	AFB	3		
AFB013	NS	2191	AFB	3		
AFB014	COV	1687	AFB	4	1787	1
AFB014	IAV	1696	AFB	4		
AFB014	NS	1979	AFB	4		
AFB017	COV	1583	AFB	5	1821	1
AFB017	IAV	1629	AFB	5		
AFB017	NS	2251	AFB	5		
AFB021	COV	1392	AFB	6	1615	0
AFB021	IAV	1564	AFB	6		
AFB021	NS	1888	AFB	6		
AFB023	COV	2239	AFB	7	2135	1
AFB023	IAV	2187	AFB	7		
AFB023	NS	1979	AFB	7		
AFB031	COV	1449	AFB	8	1451	1
AFB031	IAV	1560	AFB	8		
AFB031	NS	1345	AFB	8		
AFB032	COV	1325	AFB	9	1527	1
AFB032	IAV	1518	AFB	9		
AFB032	NS	1737	AFB	9		
AFB034	COV	1354	AFB	10	1200	4
AFB034	IAV	1011	AFB	10		
AFB034	NS	1235	AFB	10		
AFB035	COV	1611	AFB	11	1416	1
AFB035	IAV	1131	AFB	11		
AFB035	NS	1505	AFB	11		
AFB036	COV	1560	AFB	12	1463	12
AFB036	IAV	1454	AFB	12		
AFB036	NS	1376	AFB	12		
AFB037	COV	743	AFB	13	911	5
AFB037	IAV	1093	AFB	13		
AFB037	NS	897	AFB	13		
AFB042	COV	1913	AFB	14	1894	NA
AFB042	IAV	1928	AFB	14		
AFB042	NS	1840	AFB	14		
AFB047	COV	1395	AFB	15	1159	0
AFB047	IAV	1023	AFB	15		
AFB047	NS	1060	AFB	15		
AFB048	COV	1256	AFB	16	1583	NA
AFB048	IAV	1440	AFB	16		
AFB048	NS	2053	AFB	16		
AFB052	COV	1402	AFB	17	1448	1
AFB052	IAV	1385	AFB	17		
AFB052	NS	1557	AFB	17		
AFB053	COV	1510	AFB	18	1363	0
AFB053	IAV	1232	AFB	18		
AFB053	NS	1348	AFB	18		
AFB054	COV	1295	AFB	19	1244	1
AFB054	IAV	1101	AFB	19		
AFB054	NS	1337	AFB	19		
AFB056	COV	1525	AFB	20	1516	1
AFB056	IAV	1648	AFB	20		
AFB056	NS	1376	AFB	20		
AFB058	COV	1351	AFB	21	1316	1
AFB058	IAV	1404	AFB	21		
AFB058	NS	1194	AFB	21		
AFB060	COV	1571	AFB	22	1658	1
AFB060	IAV	1767	AFB	22		
AFB060	NS	1636	AFB	22		
AFB061	COV	2665	AFB	23	2451	2
AFB061	IAV	2519	AFB	23		
AFB061	NS	2169	AFB	23		
AFB063	COV	1058	AFB	24	1252	2
AFB063	IAV	1134	AFB	24		
AFB063	NS	1564	AFB	24		
AFB074	COV	1510	AFB	25	1487	0
AFB074	IAV	1093	AFB	25		
AFB074	NS	1859	AFB	25		
AFB075	COV	1740	AFB	26	1496	1
AFB075	IAV	1361	AFB	26		
AFB075	NS	1387	AFB	26		
AFB078	COV	1979	AFB	27	1702	0
AFB078	IAV	1471	AFB	27		
AFB078	NS	1655	AFB	27		
AFB080	COV	1756	AFB	28	1741	1
AFB080	IAV	1929	AFB	28		
AFB080	NS	1537	AFB	28		
AFB086	COV	1328	AFB	29	1589	1
AFB086	IAV	1816	AFB	29		
AFB086	NS	1624	AFB	29		
AFB088	COV	1859	AFB	30	1713	0
AFB088	IAV	1552	AFB	30		
AFB088	NS	1727	AFB	30		
AFB090	COV	1780	AFB	31	1713	0
AFB090	IAV	1529	AFB	31		
AFB090	NS	1830	AFB	31		
AFB091	COV	1287	AFB	32	1497	1
AFB091	IAV	1640	AFB	32		
AFB091	NS	1565	AFB	32		
AFB092	COV	1247	AFB	33	1363	0
AFB092	IAV	1099	AFB	33		
AFB092	NS	1743	AFB	33		
AFB095	COV	1103	AFB	34	1375	0
AFB095	IAV	1398	AFB	34		
AFB095	NS	1624	AFB	34		
AFB097	COV	1686	AFB	35	1618	1
AFB097	IAV	1403	AFB	35		
AFB097	NS	1766	AFB	35		
AFB098	COV	1855	AFB	36	1710	0
AFB098	IAV	1730	AFB	36		
AFB098	NS	1546	AFB	36		
AFB101	COV	1287	AFB	37	1294	2
AFB101	IAV	1224	AFB	37		
AFB101	NS	1370	AFB	37		
AFB102	COV	2400	AFB	38	2089	2
AFB102	IAV	1586	AFB	38		
AFB102	NS	2282	AFB	38		
AFB103	COV	2566	AFB	39	2494	10
AFB103	IAV	2782	AFB	39		
AFB103	NS	2133	AFB	39		
AFB104	COV	2301	AFB	40	2047	3
AFB104	IAV	1718	AFB	40		
AFB104	NS	2121	AFB	40		
AFB106	COV	1352	AFB	41	1293	1
AFB106	IAV	1347	AFB	41		
AFB106	NS	1180	AFB	41		
AFB107	COV	1184	AFB	42	1273	1
AFB107	IAV	1182	AFB	42		
AFB107	NS	1454	AFB	42		
AFB110	COV	1811	AFB	43	1482	0
AFB110	IAV	1388	AFB	43		
AFB110	NS	1246	AFB	43		
AFB111	COV	1160	AFB	44	1761	4
AFB111	IAV	1109	AFB	44		
AFB111	MIX_COV_IAV	2574	AFB	44		
AFB111	NS	2199	AFB	44		
AFB113	COV	836	AFB	45	964	2
AFB113	IAV	1051	AFB	45		
AFB113	NS	1005	AFB	45		
AFB116	COV	2240	AFB	46	2063	2
AFB116	IAV	1488	AFB	46		
AFB116	NS	2460	AFB	46		
AFB125	COV	1476	AFB	47	1484	0
AFB125	IAV	1501	AFB	47		
AFB125	NS	1476	AFB	47		
AFB134	COV	1736	AFB	48	2026	3
AFB134	IAV	2146	AFB	48		
AFB134	NS	2196	AFB	48		
AFB136	COV	1119	AFB	49	1164	9
AFB136	IAV	1344	AFB	49		
AFB136	NS	1029	AFB	49		
AFB137	COV	1686	AFB	50	1599	1
AFB137	IAV	1400	AFB	50		
AFB137	NS	1712	AFB	50		
AFB139	COV	1861	AFB	51	1673	1
AFB139	IAV	1625	AFB	51		
AFB139	NS	1533	AFB	51		
AFB140	COV	1684	AFB	52	1936	0
AFB140	IAV	1933	AFB	52		
AFB140	NS	2190	AFB	52		
AFB143	COV	1841	AFB	53	1762	1
AFB143	IAV	1751	AFB	53		
AFB143	NS	1695	AFB	53		
AFB144	COV	1220	AFB	54	1289	9
AFB144	IAV	1214	AFB	54		
AFB144	NS	1433	AFB	54		
AFB145	COV	1687	AFB	55	1818	1
AFB145	IAV	1915	AFB	55		
AFB145	NS	1851	AFB	55		
AFB147	COV	1828	AFB	56	1744	1
AFB147	IAV	1598	AFB	56		
AFB147	NS	1807	AFB	56		
AFB149	COV	1702	AFB	57	1779	1
AFB149	IAV	1871	AFB	57		
AFB149	NS	1765	AFB	57		
AFB152	COV	1509	AFB	58	1879	1
AFB152	IAV	1743	AFB	58		
AFB152	NS	2385	AFB	58		
AFB153	COV	1207	AFB	59	1741	0
AFB153	IAV	1412	AFB	59		
AFB153	NS	2603	AFB	59		
AFB154	COV	2516	AFB	60	2097	1
AFB154	IAV	1602	AFB	60		
AFB154	NS	2173	AFB	60		
AFB156	COV	1310	AFB	61	1343	1
AFB156	IAV	1384	AFB	61		
AFB156	NS	1336	AFB	61		
AFB157	COV	1765	AFB	62	1645	1
AFB157	IAV	1797	AFB	62		
AFB157	NS	1374	AFB	62		
AFB158	COV	1525	AFB	63	1536	0
AFB158	IAV	1464	AFB	63		
AFB158	NS	1619	AFB	63		
AFB160	COV	1669	AFB	64	1588	1
AFB160	IAV	1747	AFB	64		
AFB160	NS	1348	AFB	64		
AFB161	COV	1336	AFB	65	1802	1
AFB161	IAV	1954	AFB	65		
AFB161	NS	2117	AFB	65		
AFB165	COV	1435	AFB	66	1721	1
AFB165	IAV	1641	AFB	66		
AFB165	NS	2086	AFB	66		
AFB167	COV	1914	AFB	67	1584	1
AFB167	IAV	1211	AFB	67		
AFB167	NS	1626	AFB	67		
AFB169	COV	1735	AFB	68	1733	1
AFB169	IAV	1662	AFB	68		
AFB169	NS	1801	AFB	68		
AFB171	COV	1630	AFB	69	1599	1
AFB171	IAV	1580	AFB	69		
AFB171	NS	1588	AFB	69		
AFB173	COV	1268	AFB	70	1435	1
AFB173	IAV	1634	AFB	70		
AFB173	NS	1404	AFB	70		
AFB174	COV	2419	AFB	71	2487	1
AFB174	IAV	1841	AFB	71		
AFB174	NS	3200	AFB	71		
AFB175	COV	1058	AFB	72	1362	1
AFB175	IAV	1743	AFB	72		
AFB175	NS	1284	AFB	72		
AFB179	COV	2265	AFB	73	2018	3
AFB179	IAV	1818	AFB	73		
AFB179	NS	1971	AFB	73		
AFB183	COV	1227	AFB	74	1243	2
AFB183	IAV	1038	AFB	74		
AFB183	NS	1464	AFB	74		
AFB187	COV	1798	AFB	75	2000	1
AFB187	IAV	2020	AFB	75		
AFB187	NS	2183	AFB	75		
AFB188	COV	1579	AFB	76	1515	1
AFB188	IAV	1384	AFB	76		
AFB188	NS	1581	AFB	76		
AFB189	COV	1719	AFB	77	1762	3
AFB189	IAV	1626	AFB	77		
AFB189	NS	1941	AFB	77		
AFB190	COV	2301	AFB	78	2075	1
AFB190	IAV	1510	AFB	78		
AFB190	NS	2413	AFB	78		
AFB193	COV	1540	AFB	79	1696	1
AFB193	IAV	1614	AFB	79		
AFB193	NS	1933	AFB	79		
AFB198	COV	1359	AFB	80	1556	1
AFB198	IAV	1712	AFB	80		
AFB198	NS	1597	AFB	80		
ASH001	COV	1413	ASH	1	1367	4
ASH001	IAV	1597	ASH	1		
ASH001	NS	1092	ASH	1		
ASH002	COV	953	ASH	2	1214	3
ASH002	IAV	1236	ASH	2		
ASH002	NS	1452	ASH	2		
ASH003	COV	1482	ASH	3	1551	2
ASH003	IAV	1561	ASH	3		
ASH003	NS	1609	ASH	3		
ASH004	COV	1745	ASH	4	1682	1
ASH004	IAV	1587	ASH	4		
ASH004	NS	1713	ASH	4		
ASH005	COV	1161	ASH	5	999	8
ASH005	IAV	783	ASH	5		
ASH005	NS	1053	ASH	5		
ASH006	COV	1214	ASH	6	1190	1
ASH006	IAV	1363	ASH	6		
ASH006	NS	992	ASH	6		
ASH007	COV	967	ASH	7	998	4
ASH007	IAV	1058	ASH	7		
ASH007	NS	968	ASH	7		
ASH008	COV	797	ASH	8	922	6
ASH008	IAV	1031	ASH	8		
ASH008	NS	937	ASH	8		
ASH009	COV	1800	ASH	9	1744	NA
ASH009	IAV	1863	ASH	9		
ASH009	NS	1568	ASH	9		
ASH010	COV	1455	ASH	10	1379	8
ASH010	IAV	1391	ASH	10		
ASH010	NS	1290	ASH	10		
ASH011	COV	1356	ASH	11	1341	5
ASH011	IAV	1322	ASH	11		
ASH011	NS	1346	ASH	11		
ASH012	COV	1158	ASH	12	1105	9
ASH012	IAV	1074	ASH	12		
ASH012	NS	1082	ASH	12		
ASH013	COV	1519	ASH	13	1411	6
ASH013	IAV	1431	ASH	13		
ASH013	NS	1283	ASH	13		
ASH014	COV	1317	ASH	14	1438	5
ASH014	IAV	1479	ASH	14		
ASH014	NS	1519	ASH	14		
ASH015	COV	1958	ASH	15	1749	1
ASH015	IAV	1530	ASH	15		
ASH015	NS	1759	ASH	15		
ASH016	COV	1050	ASH	16	957	3
ASH016	IAV	1031	ASH	16		
ASH016	NS	791	ASH	16		
ASH017	COV	980	ASH	17	895	6
ASH017	IAV	932	ASH	17		
ASH017	NS	772	ASH	17		
ASH018	COV	948	ASH	18	1130	7
ASH018	IAV	1176	ASH	18		
ASH018	NS	1266	ASH	18		
ASH019	COV	973	ASH	19	1175	5
ASH019	IAV	1360	ASH	19		
ASH019	NS	1193	ASH	19		
ASH020	COV	1666	ASH	20	1592	3
ASH020	IAV	1547	ASH	20		
ASH020	NS	1563	ASH	20		
ASH021	COV	1056	ASH	21	1317	3
ASH021	IAV	1417	ASH	21		
ASH021	NS	1478	ASH	21		
ASH022	COV	1100	ASH	22	1308	NA
ASH022	IAV	1240	ASH	22		
ASH022	NS	1585	ASH	22		
ASH023	COV	1220	ASH	23	1112	NA
ASH023	IAV	903	ASH	23		
ASH023	NS	1212	ASH	23		
ASH024	COV	1479	ASH	24	1806	1
ASH024	IAV	2300	ASH	24		
ASH024	NS	1640	ASH	24		
ASH025	COV	1169	ASH	25	1084	10
ASH025	IAV	901	ASH	25		
ASH025	NS	1182	ASH	25		
ASH026	COV	1462	ASH	26	1455	6
ASH026	IAV	1323	ASH	26		
ASH026	NS	1581	ASH	26		
ASH027	COV	1678	ASH	27	1578	3
ASH027	IAV	1566	ASH	27		
ASH027	NS	1491	ASH	27		
ASH028	COV	1508	ASH	28	1322	4
ASH028	IAV	1436	ASH	28		
ASH028	NS	1022	ASH	28		
ASH029	COV	993	ASH	29	1248	4
ASH029	IAV	1543	ASH	29		
ASH029	NS	1207	ASH	29		
ASH030	COV	1124	ASH	30	1154	4
ASH030	IAV	1221	ASH	30		
ASH030	NS	1117	ASH	30		
ASH031	COV	1120	ASH	31	917	10
ASH031	IAV	710	ASH	31		
ASH031	NS	922	ASH	31		
ASH032	COV	1662	ASH	32	1621	11
ASH032	IAV	1817	ASH	32		
ASH032	NS	1384	ASH	32		
ASH033	COV	1329	ASH	33	1306	4
ASH033	IAV	1583	ASH	33		
ASH033	NS	1005	ASH	33		
ASH034	COV	1298	ASH	34	1275	1
ASH034	IAV	1083	ASH	34		
ASH034	NS	1444	ASH	34		
ASH035	COV	881	ASH	35	864	3
ASH035	IAV	855	ASH	35		
ASH035	NS	856	ASH	35		
ASH036	COV	988	ASH	36	1113	4
ASH036	IAV	1112	ASH	36		
ASH036	NS	1238	ASH	36		
ASH037	COV	1679	ASH	37	1734	1
ASH037	IAV	1372	ASH	37		
ASH037	NS	2152	ASH	37		
ASH038	COV	844	ASH	38	1116	8
ASH038	IAV	1074	ASH	38		
ASH038	NS	1430	ASH	38		
ASH039	COV	1044	ASH	39	971	6
ASH039	IAV	1050	ASH	39		
ASH039	NS	820	ASH	39		
ASH040	COV	1238	ASH	40	1025	4
ASH040	IAV	801	ASH	40		
ASH040	NS	1036	ASH	40		
ASH041	COV	1486	ASH	41	1484	3
ASH041	IAV	1636	ASH	41		
ASH041	NS	1331	ASH	41		
ASH042	COV	1135	ASH	42	1120	11
ASH042	IAV	1262	ASH	42		
ASH042	NS	962	ASH	42		
ASH043	COV	750	ASH	43	856	20
ASH043	IAV	870	ASH	43		
ASH043	NS	948	ASH	43		
ASH044	COV	243	ASH	44	225	44
ASH044	IAV	210	ASH	44		
ASH044	NS	221	ASH	44		
ASH045	COV	831	ASH	45	843	5
ASH045	IAV	904	ASH	45		
ASH045	NS	794	ASH	45		
ASH046	COV	1300	ASH	46	1278	4
ASH046	IAV	1462	ASH	46		
ASH046	NS	1073	ASH	46		
ASH047	COV	924	ASH	47	967	10
ASH047	IAV	1250	ASH	47		
ASH047	NS	727	ASH	47		
ASH048	COV	1365	ASH	48	1329	3
ASH048	IAV	1243	ASH	48		
ASH048	NS	1379	ASH	48		
ASH049	COV	1283	ASH	49	1226	4
ASH049	IAV	1162	ASH	49		
ASH049	NS	1232	ASH	49		
ASH050	COV	741	ASH	50	800	5
ASH050	IAV	884	ASH	50		
ASH050	NS	775	ASH	50		
ASH051	COV	1099	ASH	51	1008	6
ASH051	IAV	867	ASH	51		
ASH051	NS	1059	ASH	51		
ASH052	COV	1161	ASH	52	1033	6
ASH052	IAV	936	ASH	52		
ASH052	NS	1003	ASH	52		
ASH053	COV	1224	ASH	53	1235	1
ASH053	IAV	1109	ASH	53		
ASH053	NS	1371	ASH	53		
ASH054	COV	910	ASH	54	1056	14
ASH054	IAV	1292	ASH	54		
ASH054	NS	965	ASH	54		
ASH055	COV	1092	ASH	55	1036	13
ASH055	IAV	872	ASH	55		
ASH055	NS	1145	ASH	55		
ASH056	COV	817	ASH	56	833	15
