celltype	state	type	adjustment_phase	value
B	COV	response	n_popD	58
B	IAV	response	n_popD	59
B	NS	expression	n_popD	1289
MONO	COV	response	n_popD	633
MONO	IAV	response	n_popD	247
MONO	NS	expression	n_popD	2522
NK	COV	response	n_popD	237
NK	IAV	response	n_popD	386
NK	NS	expression	n_popD	1324
T.CD4	COV	response	n_popD	193
T.CD4	IAV	response	n_popD	135
T.CD4	NS	expression	n_popD	1505
T.CD8	COV	response	n_popD	124
T.CD8	IAV	response	n_popD	133
T.CD8	NS	expression	n_popD	1371
B	COV	response	n_popD_no_lineage	54
B	IAV	response	n_popD_no_lineage	48
B	NS	expression	n_popD_no_lineage	1091
MONO	COV	response	n_popD_no_lineage	515
MONO	IAV	response	n_popD_no_lineage	220
MONO	NS	expression	n_popD_no_lineage	2020
NK	COV	response	n_popD_no_lineage	185
NK	IAV	response	n_popD_no_lineage	207
NK	NS	expression	n_popD_no_lineage	704
T.CD4	COV	response	n_popD_no_lineage	174
T.CD4	IAV	response	n_popD_no_lineage	123
T.CD4	NS	expression	n_popD_no_lineage	1272
T.CD8	COV	response	n_popD_no_lineage	106
T.CD8	IAV	response	n_popD_no_lineage	120
T.CD8	NS	expression	n_popD_no_lineage	1025
B	COV	response	n_popD_lineage_all	52
B	IAV	response	n_popD_lineage_all	47
B	NS	expression	n_popD_lineage_all	1065
MONO	COV	response	n_popD_lineage_all	509
MONO	IAV	response	n_popD_lineage_all	217
MONO	NS	expression	n_popD_lineage_all	1983
NK	COV	response	n_popD_lineage_all	184
NK	IAV	response	n_popD_lineage_all	207
NK	NS	expression	n_popD_lineage_all	669
T.CD4	COV	response	n_popD_lineage_all	170
T.CD4	IAV	response	n_popD_lineage_all	121
T.CD4	NS	expression	n_popD_lineage_all	1228
T.CD8	COV	response	n_popD_lineage_all	105
T.CD8	IAV	response	n_popD_lineage_all	116
T.CD8	NS	expression	n_popD_lineage_all	1001
