POP	ONSET_SELECTION	END_SELECTION	COEF_SELECTION	NREP	FREQ0	RUN
CEU	0	0	0	1000	0	1
CEU	0	0	0	1000	0.01	2
CEU	0	0	0	1000	0.02	3
CEU	0	0	0	1000	0.03	4
CEU	0	0	0	1000	0.04	5
CEU	0	0	0	1000	0.05	6
CEU	0	0	0	1000	0.06	7
CEU	0	0	0	1000	0.07	8
CEU	0	0	0	1000	0.08	9
CEU	0	0	0	1000	0.09	10
CEU	0	0	0	1000	0.1	11
CEU	0	0	0	1000	0.11	12
CEU	0	0	0	1000	0.12	13
CEU	0	0	0	1000	0.13	14
CEU	0	0	0	1000	0.14	15
CEU	0	0	0	1000	0.15	16
CEU	0	0	0	1000	0.16	17
CEU	0	0	0	1000	0.17	18
CEU	0	0	0	1000	0.18	19
CEU	0	0	0	1000	0.19	20
CEU	0	0	0	1000	0.2	21
CEU	0	0	0	1000	0.21	22
CEU	0	0	0	1000	0.22	23
CEU	0	0	0	1000	0.23	24
CEU	0	0	0	1000	0.24	25
CEU	0	0	0	1000	0.25	26
CEU	0	0	0	1000	0.26	27
CEU	0	0	0	1000	0.27	28
CEU	0	0	0	1000	0.28	29
CEU	0	0	0	1000	0.29	30
CEU	0	0	0	1000	0.3	31
CEU	0	0	0	1000	0.31	32
CEU	0	0	0	1000	0.32	33
CEU	0	0	0	1000	0.33	34
CEU	0	0	0	1000	0.34	35
CEU	0	0	0	1000	0.35	36
CEU	0	0	0	1000	0.36	37
CEU	0	0	0	1000	0.37	38
CEU	0	0	0	1000	0.38	39
CEU	0	0	0	1000	0.39	40
CEU	0	0	0	1000	0.4	41
CEU	0	0	0	1000	0.41	42
CEU	0	0	0	1000	0.42	43
CEU	0	0	0	1000	0.43	44
CEU	0	0	0	1000	0.44	45
CEU	0	0	0	1000	0.45	46
CEU	0	0	0	1000	0.46	47
CEU	0	0	0	1000	0.47	48
CEU	0	0	0	1000	0.48	49
CEU	0	0	0	1000	0.49	50
CEU	0	0	0	1000	0.5	51
CEU	0	0	0	1000	0.51	52
CEU	0	0	0	1000	0.52	53
CEU	0	0	0	1000	0.53	54
CEU	0	0	0	1000	0.54	55
CEU	0	0	0	1000	0.55	56
CEU	0	0	0	1000	0.56	57
CEU	0	0	0	1000	0.57	58
CEU	0	0	0	1000	0.58	59
CEU	0	0	0	1000	0.59	60
CEU	0	0	0	1000	0.6	61
CEU	0	0	0	1000	0.61	62
CEU	0	0	0	1000	0.62	63
CEU	0	0	0	1000	0.63	64
CEU	0	0	0	1000	0.64	65
CEU	0	0	0	1000	0.65	66
CEU	0	0	0	1000	0.66	67
CEU	0	0	0	1000	0.67	68
CEU	0	0	0	1000	0.68	69
CEU	0	0	0	1000	0.69	70
CEU	0	0	0	1000	0.7	71
CEU	0	0	0	1000	0.71	72
CEU	0	0	0	1000	0.72	73
CEU	0	0	0	1000	0.73	74
CEU	0	0	0	1000	0.74	75
CEU	0	0	0	1000	0.75	76
CEU	0	0	0	1000	0.76	77
CEU	0	0	0	1000	0.77	78
CEU	0	0	0	1000	0.78	79
CEU	0	0	0	1000	0.79	80
CEU	0	0	0	1000	0.8	81
CEU	0	0	0	1000	0.81	82
CEU	0	0	0	1000	0.82	83
CEU	0	0	0	1000	0.83	84
CEU	0	0	0	1000	0.84	85
CEU	0	0	0	1000	0.85	86
CEU	0	0	0	1000	0.86	87
CEU	0	0	0	1000	0.87	88
CEU	0	0	0	1000	0.88	89
CEU	0	0	0	1000	0.89	90
CEU	0	0	0	1000	0.9	91
CEU	0	0	0	1000	0.91	92
CEU	0	0	0	1000	0.92	93
CEU	0	0	0	1000	0.93	94
CEU	0	0	0	1000	0.94	95
CEU	0	0	0	1000	0.95	96
CEU	0	0	0	1000	0.96	97
CEU	0	0	0	1000	0.97	98
CEU	0	0	0	1000	0.98	99
CEU	0	0	0	1000	0.99	100
CEU	0	0	0	1000	1	101
CEU	100	120	0.01	100	0	102
CEU	100	120	0.01	100	0.01	103
CEU	100	120	0.01	100	0.02	104
CEU	100	120	0.01	100	0.03	105
CEU	100	120	0.01	100	0.04	106
CEU	100	120	0.01	100	0.05	107
CEU	100	120	0.01	100	0.06	108
CEU	100	120	0.01	100	0.07	109
CEU	100	120	0.01	100	0.08	110
CEU	100	120	0.01	100	0.09	111
CEU	100	120	0.01	100	0.1	112
CEU	100	120	0.01	100	0.11	113
CEU	100	120	0.01	100	0.12	114
CEU	100	120	0.01	100	0.13	115
CEU	100	120	0.01	100	0.14	116
CEU	100	120	0.01	100	0.15	117
CEU	100	120	0.01	100	0.16	118
CEU	100	120	0.01	100	0.17	119
CEU	100	120	0.01	100	0.18	120
CEU	100	120	0.01	100	0.19	121
CEU	100	120	0.01	100	0.2	122
CEU	100	120	0.01	100	0.21	123
CEU	100	120	0.01	100	0.22	124
CEU	100	120	0.01	100	0.23	125
CEU	100	120	0.01	100	0.24	126
CEU	100	120	0.01	100	0.25	127
CEU	100	120	0.01	100	0.26	128
CEU	100	120	0.01	100	0.27	129
CEU	100	120	0.01	100	0.28	130
CEU	100	120	0.01	100	0.29	131
CEU	100	120	0.01	100	0.3	132
CEU	100	120	0.01	100	0.31	133
CEU	100	120	0.01	100	0.32	134
CEU	100	120	0.01	100	0.33	135
CEU	100	120	0.01	100	0.34	136
CEU	100	120	0.01	100	0.35	137
CEU	100	120	0.01	100	0.36	138
CEU	100	120	0.01	100	0.37	139
CEU	100	120	0.01	100	0.38	140
CEU	100	120	0.01	100	0.39	141
CEU	100	120	0.01	100	0.4	142
CEU	100	120	0.01	100	0.41	143
CEU	100	120	0.01	100	0.42	144
CEU	100	120	0.01	100	0.43	145
CEU	100	120	0.01	100	0.44	146
CEU	100	120	0.01	100	0.45	147
CEU	100	120	0.01	100	0.46	148
CEU	100	120	0.01	100	0.47	149
CEU	100	120	0.01	100	0.48	150
CEU	100	120	0.01	100	0.49	151
CEU	100	120	0.01	100	0.5	152
CEU	100	120	0.01	100	0.51	153
CEU	100	120	0.01	100	0.52	154
CEU	100	120	0.01	100	0.53	155
CEU	100	120	0.01	100	0.54	156
CEU	100	120	0.01	100	0.55	157
CEU	100	120	0.01	100	0.56	158
CEU	100	120	0.01	100	0.57	159
CEU	100	120	0.01	100	0.58	160
CEU	100	120	0.01	100	0.59	161
CEU	100	120	0.01	100	0.6	162
CEU	100	120	0.01	100	0.61	163
CEU	100	120	0.01	100	0.62	164
CEU	100	120	0.01	100	0.63	165
CEU	100	120	0.01	100	0.64	166
CEU	100	120	0.01	100	0.65	167
CEU	100	120	0.01	100	0.66	168
CEU	100	120	0.01	100	0.67	169
CEU	100	120	0.01	100	0.68	170
CEU	100	120	0.01	100	0.69	171
CEU	100	120	0.01	100	0.7	172
CEU	100	120	0.01	100	0.71	173
CEU	100	120	0.01	100	0.72	174
CEU	100	120	0.01	100	0.73	175
CEU	100	120	0.01	100	0.74	176
CEU	100	120	0.01	100	0.75	177
CEU	100	120	0.01	100	0.76	178
CEU	100	120	0.01	100	0.77	179
CEU	100	120	0.01	100	0.78	180
CEU	100	120	0.01	100	0.79	181
CEU	100	120	0.01	100	0.8	182
CEU	100	120	0.01	100	0.81	183
CEU	100	120	0.01	100	0.82	184
CEU	100	120	0.01	100	0.83	185
CEU	100	120	0.01	100	0.84	186
CEU	100	120	0.01	100	0.85	187
CEU	100	120	0.01	100	0.86	188
CEU	100	120	0.01	100	0.87	189
CEU	100	120	0.01	100	0.88	190
CEU	100	120	0.01	100	0.89	191
CEU	100	120	0.01	100	0.9	192
CEU	100	120	0.01	100	0.91	193
CEU	100	120	0.01	100	0.92	194
CEU	100	120	0.01	100	0.93	195
CEU	100	120	0.01	100	0.94	196
CEU	100	120	0.01	100	0.95	197
CEU	100	120	0.01	100	0.96	198
CEU	100	120	0.01	100	0.97	199
